question,answer
tell me something about where is preah vihear temple thank you.,it is on a cliff in the north near the thai border
info on is sambor prei kuk old thank you.,yes it is a pre-angkorian site in kampong thom
could you explain what is battambang known for if you can.,it is famous for the bamboo train and caves
give me info on where is the killing caves specifically.,they are located on phnom sampeau in battambang
teach me about can i see bats in battambang?,yes millions of bats fly out of caves at sunset
i am curious about what is phnom chi please.,it is a mountain for hiking in kampong thom
tell me something about where is kapi falls today.,it is a scenic spot in mondulkiri
i want to know best time to visit cambodia thank you.,november to february is the best time
can you tell me what currency is used right now.,the currency is riel and us dollar
tell me something about do people speak english today.,many people speak basic english in tourist areas
give me info on what food should i try right now.,you should try amok and lok lak
could you explain is cambodia safe for me.,it is generally safe for tourists
could you explain how to travel in cambodia right now.,you can use tuk tuk or taxi
find do i need a visa specifically.,most tourists need a visa or an e-visa
teach me about what is the water festival thank you.,bon om touk is a festival with boat racing
what about when is khmer new year please.,it is usually celebrated in mid-april
give me details on is the water safe to drink,it is better to drink bottled or filtered water
info on how to say hello in khmer specifically.,you say sarsday or chum reap suor
give me details on how to say thank you thanks.,you say orkun in khmer
do you know is there grab in cambodia please.,yes grab and passapp are widely used
looking for what is the local beer please.,angkor beer and cambodia beer are popular
can you explain is cambodia expensive for me.,it is very affordable for most travelers
please tell me what is the rainy season immediately.,it runs from may to october
tell me something about internet in cambodia specifically.,wifi is common and local sim cards are cheap
teach me about what is the time zone thanks.,cambodia is gmt plus seven
any idea where where is angkor wat?,angkor wat is in siem reap cambodia
hi what is angkor wat please.,it is a famous temple in cambodia
hi what to do in siem reap thank you.,you can visit temples and night market
please tell me where is bayon temple if you can.,bayon temple is in the center of angkor thom
what about what is ta prohm please.,it is the jungle temple with giant trees in siem reap
how much is angkor pass please.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
can you explain where to watch sunset in siem reap for me.,phnom bakheng is the most popular spot for sunset
could you explain what is pub street immediately.,it is the nightlife hub of siem reap with bars and food
any idea where is tonle sap near siem reap immediately.,yes it is the largest freshwater lake near siem reap
best time to visit temples for me.,early morning at sunrise is the best time
tell me something about where is banteay srei right now.,it is a pink sandstone temple 35km from siem reap
briefly explain what is angkor thom please.,it was the last capital city of the khmer empire
any idea where where is koh ker please.,it is a pyramid temple north of siem reap
i want to know is beng mealea far thanks.,it is about 60km east of siem reap city
hey what is the terrace of elephants please.,it is part of the ancient royal city of angkor thom
looking for is angkor wat open today thank you.,angkor wat is open daily from 5 am to 5:30 pm
teach me about where is phnom penh?,phnom penh is the capital city of cambodia
what to see in phnom penh immediately.,visit the royal palace and the national museum
search for where is the royal palace for me.,it is located along the riverside in phnom penh
give me details on what is the silver pagoda?,it is a temple in the royal palace with a silver floor
can you explain where are the killing fields if you can.,choeung ek is about 15 kilometers from phnom penh
i want to know what is s21 prison if you can.,tuol sleng is a former prison museum in phnom penh
what about where is wat phnom for me.,it is a hilltop temple that gives the capital its name
tell me best place for shopping in phnom penh?,central market and russian market are the best
tell me something about where is the riverside if you can.,it is the sisowath quay area along the tonle sap river
looking for how to get around phnom penh please.,passapp or grab for tuk tuks is the easiest way
any idea where is phnom penh safe at night immediately.,it is generally safe but watch your belongings
